"","Date","DAX","VDAX"
"1","2007-01-02",6681.13,13.97
"2","2007-01-03",6691.32,14.03
"3","2007-01-04",6674.4,14.41
"4","2007-01-05",6593.09,15.8
"5","2007-01-08",6607.59,16.61
"6","2007-01-09",6614.37,16.43
"7","2007-01-10",6566.56,17.06
"8","2007-01-11",6687.3,14.48
"9","2007-01-12",6705.17,13.35
"10","2007-01-15",6731.74,13.63
"11","2007-01-16",6716.82,16.58
"12","2007-01-17",6701.7,17.61
"13","2007-01-23",6678.93,15.45
"14","2007-01-24",6748.37,13.94
"15","2007-01-25",6719.58,14.74
"16","2007-01-26",6690.34,15.11
"17","2007-01-29",6726.01,15.49
"18","2007-01-30",6788.23,14.53
"19","2007-01-31",6789.11,15.36
"20","2007-02-01",6851.28,13.81
"21","2007-02-02",6885.76,12.44
"22","2007-02-05",6874.06,13.47
"23","2007-02-06",6875.7,13.72
"24","2007-02-07",6915.56,12.86
"25","2007-02-08",6876.73,13.18
"26","2007-02-09",6911.11,12.7
"27","2007-02-12",6859.45,16.55
"28","2007-02-13",6895.34,16.05
"29","2007-02-14",6961.18,15.33
"30","2007-02-20",6982.91,13.7
"31","2007-02-21",6941.66,14.34
"32","2007-02-22",6973.73,13.85
"33","2007-02-23",6992.58,13.59
"34","2007-02-26",7027.59,13.46
"35","2007-02-27",6819.65,18.64
"36","2007-02-28",6715.44,20.29
"37","2007-03-01",6640.24,21.7
"38","2007-03-02",6603.32,23.97
"39","2007-03-05",6534.57,25.85
"40","2007-03-06",6595,22.67
"41","2007-03-07",6617.75,21.17
"42","2007-03-08",6713.23,18.78
"43","2007-03-09",6716.52,18.18
"44","2007-03-12",6715.49,22.14
"45","2007-03-13",6623.99,24.81
"46","2007-03-14",6447.7,31.08
"47","2007-03-20",6700.29,18.41
"48","2007-03-21",6712.06,18.11
"49","2007-03-22",6856.96,16.86
"50","2007-03-23",6899.06,16.58
"51","2007-03-26",6828.82,18.82
"52","2007-03-27",6858.34,18.23
"53","2007-03-28",6816.89,19.41
"54","2007-03-29",6897.08,17.79
"55","2007-03-30",6917.03,16.59
"56","2007-04-02",6937.17,15.97
"57","2007-04-03",7045.56,14.22
"58","2007-04-04",7073.91,13.79
"59","2007-04-05",7099.91,13.29
"60","2007-04-10",7166.67,13.95
"61","2007-04-11",7152.83,15.74
"62","2007-04-12",7142.95,15.46
"63","2007-04-13",7212.07,13.97
"64","2007-04-16",7338.06,17.26
"65","2007-04-17",7348.83,17.96
"66","2007-04-18",7282.34,18.72
"67","2007-04-24",7270.32,18.39
"68","2007-04-25",7343.08,17.32
"69","2007-04-26",7387.02,17.18
"70","2007-04-27",7378.12,17.39
"71","2007-04-30",7408.87,18.04
"72","2007-05-02",7455.93,17.96
"73","2007-05-03",7476.69,17.52
"74","2007-05-04",7516.76,16.18
"75","2007-05-07",7525.69,16.75
"76","2007-05-08",7442.2,18.01
"77","2007-05-09",7475.99,16.92
"78","2007-05-10",7415.33,17.97
"79","2007-05-11",7479.34,16.86
"80","2007-05-14",7459.61,19.95
"81","2007-05-15",7505.35,18.74
"82","2007-05-16",7481.25,17.79
"83","2007-05-22",7659.39,16.38
"84","2007-05-23",7735.88,15.99
"85","2007-05-24",7697.38,17.64
"86","2007-05-25",7739.2,16.26
"87","2007-05-29",7781.04,17.16
