"","Date","DAX","VDAX"
"1",1999-01-06,5443.62,35.71
"2",1999-01-07,5323.21,38.31
"3",1999-01-08,5392.84,37.41
"4",1999-01-11,5270.6,38.92
"5",1999-01-12,5200.1,40.17
"6",1999-01-13,4931.8,43.12
"7",1999-01-14,4912.75,41.45
"8",1999-01-15,4960.22,40.59
"9",1999-01-18,5050.4,39.61
"10",1999-01-19,5073.15,39.28
"11",1999-01-20,5143.06,38.1
"12",1999-01-21,5156.67,38.3
"13",1999-01-22,5019.28,40.12
"14",1999-01-25,4982.45,40.46
"15",1999-01-26,4986.8,40.14
"16",1999-01-27,5061.18,39.86
"17",1999-01-28,5096.41,38.77
"18",1999-01-29,5159.96,37.71
"19",1999-02-01,5190.82,37.64
"20",1999-02-02,5166.87,37.82
"21",1999-02-03,5085.66,37.51
"22",1999-02-04,5077.85,38.74
"23",1999-02-05,5080.77,37
"24",1999-02-08,5027.22,38.74
"25",1999-02-09,4904.35,40.25
"26",1999-02-10,4796.82,39.42
"27",1999-02-11,4839.33,36.88
"28",1999-02-12,4888.74,36.77
"29",1999-02-15,4879.55,35.71
"30",1999-02-16,4904.68,34.37
"31",1999-02-17,4810.09,35.37
"32",1999-02-18,4845.08,35.02
"33",1999-02-19,4802.38,32.72
"34",1999-02-22,4845.18,31.27
"35",1999-02-23,4987.56,31.2
"36",1999-02-24,5062.31,31.21
"37",1999-02-25,4958.58,32.51
"38",1999-02-26,4911.81,31.42
"39",1999-03-01,4784.31,35.3
"40",1999-03-02,4804.02,33.58
"41",1999-03-03,4697.67,34.52
"42",1999-03-04,4678.72,32.03
"43",1999-03-05,4839.09,30.53
"44",1999-03-08,4788.69,31.84
"45",1999-03-09,4758.46,30.94
"46",1999-03-10,4721.41,30.74
"47",1999-03-11,4754.41,28.91
"48",1999-03-12,5008.16,30.5
"49",1999-03-15,5029.24,30.02
"50",1999-03-16,5094.63,30.1
"51",1999-03-17,5077.43,29.1
"52",1999-03-18,5013.62,29.24
