"","Date","DAX","VDAX"
"1",2007-01-02,6681.13,16.52
"2",2007-01-03,6691.32,16.47
"3",2007-01-04,6674.4,16.61
"4",2007-01-05,6593.09,17.27
"5",2007-01-08,6607.59,17.76
"6",2007-01-09,6614.37,17.81
"7",2007-01-10,6566.56,18.39
"8",2007-01-11,6687.3,16.77
"9",2007-01-12,6705.17,16.35
"10",2007-01-15,6731.74,16.06
"11",2007-01-16,6716.82,16.62
"12",2007-01-17,6701.7,16.91
"13",2007-01-18,6689.62,16.91
"14",2007-01-19,6747.17,15.87
"15",2007-01-22,6687.31,16.82
"16",2007-01-23,6678.93,14.67
"17",2007-01-24,6748.37,15.81
"18",2007-01-25,6719.58,16.36
"19",2007-01-26,6690.34,16.5
"20",2007-01-29,6726.01,16.45
"21",2007-01-30,6788.23,15.81
"22",2007-01-31,6789.11,15.98
"23",2007-02-01,6851.28,15.27
"24",2007-02-02,6885.76,14.75
"25",2007-02-05,6874.06,15.03
"26",2007-02-06,6875.7,15.17
"27",2007-02-07,6915.56,14.78
"28",2007-02-08,6876.73,15.11
"29",2007-02-09,6911.11,14.86
"30",2007-02-12,6859.45,15.73
"31",2007-02-13,6895.34,15.52
"32",2007-02-14,6961.18,14.92
"33",2007-02-15,6958.62,14.68
"34",2007-02-16,6957.07,14.46
"35",2007-02-19,6987.08,14.17
"36",2007-02-20,6982.91,14.44
"37",2007-02-21,6941.66,15.3
"38",2007-02-22,6973.73,15.02
"39",2007-02-23,6992.58,15.02
"40",2007-02-26,7027.59,14.82
"41",2007-02-27,6819.65,17.01
"42",2007-02-28,6715.44,17.65
"43",2007-03-01,6640.24,18.09
"44",2007-03-02,6603.32,18.5
"45",2007-03-05,6534.57,19.2
"46",2007-03-06,6595,19.14
"47",2007-03-07,6617.75,18.58
"48",2007-03-08,6713.23,17.88
"49",2007-03-09,6716.52,17.97
"50",2007-03-12,6715.49,18.37
"51",2007-03-13,6623.99,19.46
"52",2007-03-14,6447.7,21.46
"53",2007-03-15,6585.47,20.26
"54",2007-03-16,6579.87,19.82
"55",2007-03-19,6671.41,19.28
"56",2007-03-20,6700.29,18.66
"57",2007-03-21,6712.06,18.61
"58",2007-03-22,6856.96,17.5
"59",2007-03-23,6899.06,17.16
"60",2007-03-26,6828.82,18.39
"61",2007-03-27,6858.34,18.47
"62",2007-03-28,6816.89,19.17
"63",2007-03-29,6897.08,18.51
"64",2007-03-30,6917.03,18.13
"65",2007-04-02,6937.17,18.16
"66",2007-04-03,7045.56,16.89
"67",2007-04-04,7073.91,16.93
"68",2007-04-05,7099.91,16.59
"69",2007-04-10,7166.67,16.29
"70",2007-04-11,7152.83,17.06
"71",2007-04-12,7142.95,17.59
"72",2007-04-13,7212.07,17.48
"73",2007-04-16,7338.06,17.41
"74",2007-04-17,7348.83,17.77
"75",2007-04-18,7282.34,18.37
"76",2007-04-19,7242.73,18.65
"77",2007-04-20,7342.54,17.92
"78",2007-04-23,7335.62,18.38
"79",2007-04-24,7270.32,17.73
"80",2007-04-25,7343.08,17.52
"81",2007-04-26,7387.02,17.3
"82",2007-04-27,7378.12,17.63
"83",2007-04-30,7408.87,17.86
"84",2007-05-02,7455.93,17.86
"85",2007-05-03,7476.69,17.85
"86",2007-05-04,7516.76,17.4
"87",2007-05-07,7525.69,17.4
"88",2007-05-08,7442.2,17.9
"89",2007-05-09,7475.99,17.79
"90",2007-05-10,7415.33,18.23
"91",2007-05-11,7479.34,18
"92",2007-05-14,7459.61,18.5
"93",2007-05-15,7505.35,18.22
"94",2007-05-16,7481.25,18.25
"95",2007-05-17,7499.5,18.27
"96",2007-05-18,7607.54,16.99
"97",2007-05-21,7619.31,16.9
"98",2007-05-22,7659.39,16
"99",2007-05-23,7735.88,16.68
"100",2007-05-24,7697.38,17.53
"101",2007-05-25,7739.2,17.35
"102",2007-05-29,7781.04,17.61
"103",2007-05-30,7764.97,17.88
"104",2007-05-31,7883.04,16.89
"105",2007-06-01,7987.85,16.76
"106",2007-06-04,7976.79,17.44
"107",2007-06-05,7919.83,18.41
"108",2007-06-06,7730.05,19.77
"109",2007-06-07,7618.61,20.61
"110",2007-06-08,7590.5,20.41
"111",2007-06-11,7706.1,19.85
"112",2007-06-12,7678.26,20.04
"113",2007-06-13,7680.76,20.28
"114",2007-06-14,7849.16,19.2
"115",2007-06-15,8030.64,18.97
"116",2007-06-18,8036.12,19.87
"117",2007-06-19,8033.52,19.7
"118",2007-06-20,8090.49,19.51
"119",2007-06-21,7964.71,20.28
"120",2007-06-22,7949.63,20.65
"121",2007-06-25,7930.61,20.89
"122",2007-06-26,7860.52,21.28
"123",2007-06-27,7801.23,21.3
"124",2007-06-28,7921.36,20.46
"125",2007-06-29,8007.32,19.88
"126",2007-07-02,7958.24,20.31
"127",2007-07-03,8050.68,19.96
"128",2007-07-04,8075.26,20.01
"129",2007-07-05,7987.13,20.78
"130",2007-07-06,8048.32,20.57
"131",2007-07-09,8077.39,20.55
"132",2007-07-10,7964.76,21.23
"133",2007-07-11,7898.54,21.62
"134",2007-07-12,8053.43,21.04
"135",2007-07-13,8092.77,20.81
"136",2007-07-16,8105.69,21.07
"137",2007-07-17,8038.21,21.52
"138",2007-07-18,7893.61,22.56
"139",2007-07-19,7991.21,21.81
"140",2007-07-20,7874.85,22.37
"141",2007-07-23,7944.21,22.68
"142",2007-07-24,7806.79,22.82
"143",2007-07-25,7692.55,23.44
"144",2007-07-26,7508.96,24.12
"145",2007-07-27,7451.68,24.36
"146",2007-07-30,7456.31,24.83
